"FinancialYear","LocationCode","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"1997/98","F710H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","F710H","Total","d",0,0,0,0,"0"," "
"1997/98","F711H","SMR01"," ",20,20,20,20,"",":"
"1997/98","F711H","SMR04"," ",800,800,725,565,"100"," "
"1997/98","F711H","Total","d",815,815,745,585,"100"," "
"1997/98","F711V","SMR01"," ",0,0,0,0,"",":"
"1997/98","F711V","SMR04"," ",0,0,0,0,"0"," "
"1997/98","F711V","Total","d",0,0,0,0,"0"," "
"1997/98","F712H","SMR01"," ",0,0,0,0,"",":"
"1997/98","F712H","SMR04"," ",575,590,495,430,"310"," "
"1997/98","F712H","Total","d",575,590,495,430,"310"," "
"1997/98","F716H","SMR01"," ",0,0,0,0,"",":"
"1997/98","F716H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","F716H","Total","d",0,0,0,0,"0"," "
"1997/98","F718V","SMR01"," ",0,0,0,0,"",":"
"1997/98","F718V","SMR04"," ",0,0,0,0,"0"," "
"1997/98","F718V","Total","d",0,0,0,0,"0"," "
"1997/98","F805H","SMR01"," ",95,95,75,75,"",":"
"1997/98","F805H","SMR04"," ",535,540,510,355,"95"," "
"1997/98","F805H","Total","d",630,630,585,415,"95"," "
"1997/98","G102H","SMR01"," ",5,5,5,0,"",":"
"1997/98","G102H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","G102H","Total","d",5,5,5,0,"0"," "
"1997/98","G107H","SMR01"," ",355,360,335,320,"",":"
"1997/98","G107H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","G107H","Total","d",355,360,335,320,"0"," "
"1997/98","G109H","SMR01"," ",40,45,45,45,"",":"
"1997/98","G109H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","G109H","Total","d",40,45,45,45,"0"," "
"1997/98","G111H","SMR01"," ",0,0,0,0,"",":"
"1997/98","G111H","SMR04"," ",955,950,905,720,"195"," "
"1997/98","G111H","Total","d",955,950,905,720,"195"," "
"1997/98","G206H","SMR01"," ",0,0,0,0,"",":"
"1997/98","G206H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","G206H","Total","d",0,0,0,0,"0"," "
"1997/98","G207H","SMR01"," ",265,265,235,210,"",":"
"1997/98","G207H","SMR04"," ",5,0,0,0,"5"," "
"1997/98","G207H","Total","d",270,265,235,210,"5"," "
"1997/98","G210H","SMR01"," ",0,0,0,0,"",":"
"1997/98","G210H","SMR04"," ",1355,1450,1330,995,"300"," "
"1997/98","G210H","Total","d",1355,1450,1330,995,"300"," "
"1997/98","G302H","SMR01"," ",0,0,0,0,"",":"
"1997/98","G302H","SMR04"," ",1895,1920,1685,1385,"405"," "
"1997/98","G302H","Total","d",1895,1920,1685,1385,"405"," "
"1997/98","G306H","SMR01"," ",300,300,235,235,"",":"
"1997/98","G306H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","G306H","Total","d",300,300,235,235,"0"," "
"1997/98","G307H","SMR01"," ",90,85,80,75,"",":"
"1997/98","G307H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","G307H","Total","d",90,85,80,75,"0"," "
"1997/98","G315V","SMR01"," ",0,0,0,0,"",":"
"1997/98","G315V","SMR04"," ",40,35,30,35,"60"," "
"1997/98","G315V","Total","d",40,35,30,35,"60"," "
"1997/98","G317V","SMR01"," ",0,0,0,0,"",":"
"1997/98","G317V","SMR04"," ",20,20,20,20,"30"," "
"1997/98","G317V","Total","d",20,20,20,20,"30"," "
"1997/98","G401H","SMR01"," ",5,5,5,5,"",":"
"1997/98","G401H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","G401H","Total","d",5,5,5,5,"0"," "
"1997/98","G405H","SMR01"," ",490,500,435,395,"",":"
"1997/98","G405H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","G405H","Total","d",490,500,435,395,"0"," "
"1997/98","G424V","SMR01"," ",0,0,0,0,"",":"
"1997/98","G424V","SMR04"," ",20,20,20,20,"60"," "
"1997/98","G424V","Total","d",20,20,20,20,"60"," "
"1997/98","G505H","SMR01"," ",0,0,0,0,"",":"
"1997/98","G505H","SMR04"," ",1580,1580,1470,1115,"335"," "
"1997/98","G505H","Total","d",1580,1580,1470,1115,"335"," "
"1997/98","G513H","SMR01"," ",45,45,45,45,"",":"
"1997/98","G513H","SMR04"," ",25,25,25,25,"5"," "
"1997/98","G513H","Total","d",70,70,65,65,"5"," "
"1997/98","G516H","SMR01"," ",385,390,355,335,"",":"
"1997/98","G516H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","G516H","Total","d",385,390,355,335,"0"," "
"1997/98","G535V","SMR01"," ",0,0,0,0,"",":"
"1997/98","G535V","SMR04"," ",10,0,0,0,"10"," "
"1997/98","G535V","Total","d",10,0,0,0,"10"," "
"1997/98","G536V","SMR01"," ",0,0,0,0,"",":"
"1997/98","G536V","SMR04"," ",30,10,5,10,"20"," "
"1997/98","G536V","Total","d",30,10,5,10,"20"," "
"1997/98","H101H","SMR01"," ",15,15,15,15,"",":"
"1997/98","H101H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","H101H","Total","d",15,15,15,15,"0"," "
"1997/98","H103H","SMR01"," ",105,105,95,75,"",":"
"1997/98","H103H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","H103H","Total","d",105,105,95,75,"0"," "
"1997/98","H104H","SMR01"," ",0,0,0,0,"",":"
"1997/98","H104H","SMR04"," ",35,40,40,20,"10"," "
"1997/98","H104H","Total","d",35,40,40,20,"10"," "
"1997/98","H106H","SMR01"," ",25,25,25,25,"",":"
"1997/98","H106H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","H106H","Total","d",25,25,25,25,"0"," "
"1997/98","H108H","SMR01"," ",20,20,20,15,"",":"
"1997/98","H108H","SMR04"," ",35,40,40,20,"10"," "
"1997/98","H108H","Total","d",55,60,60,30,"10"," "
"1997/98","H201H","SMR01"," ",10,10,10,10,"",":"
"1997/98","H201H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","H201H","Total","d",10,10,10,10,"0"," "
"1997/98","H202H","SMR01"," ",265,265,210,190,"",":"
"1997/98","H202H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","H202H","Total","d",265,265,210,190,"0"," "
"1997/98","H205H","SMR01"," ",0,0,0,0,"",":"
"1997/98","H205H","SMR04"," ",955,960,945,755,"115"," "
"1997/98","H205H","Total","d",955,960,945,755,"115"," "
"1997/98","H207H","SMR01"," ",0,0,0,0,"",":"
"1997/98","H207H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","H207H","Total","d",0,0,0,0,"0"," "
"1997/98","H208H","SMR01"," ",35,35,35,25,"",":"
"1997/98","H208H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","H208H","Total","d",35,35,35,25,"0"," "
"1997/98","H210H","SMR01"," ",10,5,5,5,"",":"
"1997/98","H210H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","H210H","Total","d",10,5,5,5,"0"," "
"1997/98","H211H","SMR01"," ",0,0,0,0,"",":"
"1997/98","H211H","SMR04"," ",50,50,50,15,"15"," "
"1997/98","H211H","Total","d",50,50,50,15,"15"," "
"1997/98","H212H","SMR01"," ",65,65,60,60,"",":"
"1997/98","H212H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","H212H","Total","d",65,65,60,60,"0"," "
"1997/98","H214H","SMR01"," ",5,5,5,5,"",":"
"1997/98","H214H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","H214H","Total","d",5,5,5,5,"0"," "
"1997/98","H215H","SMR01"," ",30,30,30,25,"",":"
"1997/98","H215H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","H215H","Total","d",30,30,30,25,"0"," "
"1997/98","H216H","SMR01"," ",10,10,10,10,"",":"
"1997/98","H216H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","H216H","Total","d",10,10,10,10,"0"," "
"1997/98","H217H","SMR01"," ",15,10,10,10,"",":"
"1997/98","H217H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","H217H","Total","d",15,10,10,10,"0"," "
"1997/98","H219H","SMR01"," ",0,0,0,0,"",":"
"1997/98","H219H","SMR04"," ",75,75,75,40,"10"," "
"1997/98","H219H","Total","d",75,75,75,40,"10"," "
"1997/98","H220H","SMR01"," ",0,0,0,0,"",":"
"1997/98","H220H","SMR04"," ",135,140,135,100,"40"," "
"1997/98","H220H","Total","d",135,140,135,100,"40"," "
"1997/98","L101H","SMR01"," ",0,0,0,0,"",":"
"1997/98","L101H","SMR04"," ",125,125,120,60,"15"," "
"1997/98","L101H","Total","d",125,125,120,60,"15"," "
"1997/98","L103H","SMR01"," ",0,0,0,0,"",":"
"1997/98","L103H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","L103H","Total","d",0,0,0,0,"0"," "
"1997/98","L104H","SMR01"," ",10,10,5,5,"",":"
"1997/98","L104H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","L104H","Total","d",10,10,5,5,"0"," "
"1997/98","L106H","SMR01"," ",175,175,170,155,"",":"
"1997/98","L106H","SMR04"," ",620,625,600,480,"45"," "
"1997/98","L106H","Total","d",795,800,770,615,"45"," "
"1997/98","L112V","SMR01"," ",0,0,0,0,"",":"
"1997/98","L112V","SMR04"," ",5,10,10,10,"45"," "
"1997/98","L112V","Total","d",5,10,10,10,"45"," "
"1997/98","L201K","SMR01"," ",10,10,10,10,"",":"
"1997/98","L201K","SMR04"," ",0,0,0,0,"0"," "
"1997/98","L201K","Total","d",10,10,10,10,"0"," "
"1997/98","L203H","SMR01"," ",0,0,0,0,"",":"
"1997/98","L203H","SMR04"," ",45,45,35,45,"95"," "
"1997/98","L203H","Total","d",45,45,35,45,"95"," "
"1997/98","L204H","SMR01"," ",0,0,0,0,"",":"
"1997/98","L204H","SMR04"," ",790,755,675,580,"225"," "
"1997/98","L204H","Total","d",790,755,675,580,"225"," "
"1997/98","L206H","SMR01"," ",5,5,5,5,"",":"
"1997/98","L206H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","L206H","Total","d",5,5,5,5,"0"," "
"1997/98","L207H","SMR01"," ",15,20,20,10,"",":"
