"FinancialYear","LocationCode","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"2006/07","Y108H","Total","d",5,5,5,5,"5"," "
"2006/07","Y109H","SMR01"," ",5,5,5,5,"",":"
"2006/07","Y109H","SMR04"," ",0,0,0,0,"0"," "
"2006/07","Y109H","Total","d",5,5,5,5,"0"," "
"2006/07","Y110H","SMR01"," ",5,0,0,0,"",":"
"2006/07","Y110H","SMR04"," ",0,0,0,0,"0"," "
"2006/07","Y110H","Total","d",5,0,0,0,"0"," "
"2006/07","Y111H","SMR01"," ",45,45,45,45,"",":"
"2006/07","Y111H","SMR04"," ",0,0,0,0,"0"," "
"2006/07","Y111H","Total","d",45,45,45,45,"0"," "
"2006/07","Y121V","SMR01"," ",0,0,0,0,"",":"
"2006/07","Y121V","SMR04"," ",10,15,15,15,"15"," "
"2006/07","Y121V","Total","d",10,15,15,15,"15"," "
"2006/07","Y129H","SMR01"," ",0,0,0,0,"",":"
"2006/07","Y129H","SMR04"," ",20,20,15,20,"10"," "
"2006/07","Y129H","Total","d",20,20,15,20,"10"," "
"2006/07","Y130H","SMR01"," ",0,0,0,0,"",":"
"2006/07","Y130H","SMR04"," ",10,15,15,10,"5"," "
"2006/07","Y130H","Total","d",10,15,15,10,"5"," "
"2006/07","Y134H","SMR01"," ",0,0,0,0,"",":"
"2006/07","Y134H","SMR04"," ",5,5,5,5,"10"," "
"2006/07","Y134H","Total","d",5,5,5,5,"10"," "
"2006/07","Y139H","SMR01"," ",0,0,0,0,"",":"
"2006/07","Y139H","SMR04"," ",10,15,15,15,"10"," "
"2006/07","Y139H","Total","d",10,15,15,15,"10"," "
"2006/07","Y144H","SMR01"," ",20,20,20,20,"",":"
"2006/07","Y144H","SMR04"," ",0,0,0,0,"0"," "
"2006/07","Y144H","Total","d",20,20,20,20,"0"," "
"2006/07","Z102H","SMR01"," ",75,75,75,60,"",":"
"2006/07","Z102H","SMR04"," ",0,0,0,0,"0"," "
"2006/07","Z102H","Total","d",75,75,75,60,"0"," "
"2007/08","A101H","SMR01"," ",35,35,35,20,"",":"
"2007/08","A101H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","A101H","Total","d",35,35,35,20,"0"," "
"2007/08","A103H","SMR01"," ",5,5,5,5,"",":"
"2007/08","A103H","SMR04"," ",100,105,90,95,"15"," "
"2007/08","A103H","Total","d",105,110,95,100,"15"," "
"2007/08","A105H","SMR01"," ",0,0,0,0,"",":"
"2007/08","A105H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","A105H","Total","d",0,0,0,0,"0"," "
"2007/08","A110H","SMR01"," ",5,5,5,5,"",":"
"2007/08","A110H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","A110H","Total","d",5,5,5,5,"0"," "
"2007/08","A111H","SMR01"," ",405,410,380,325,"",":"
"2007/08","A111H","SMR04"," ",675,670,635,535,"50"," "
"2007/08","A111H","Total","d",1080,1080,1015,830,"50"," "
"2007/08","A201H","SMR01"," ",0,0,0,0,"",":"
"2007/08","A201H","SMR04"," ",890,935,795,700,"165"," "
"2007/08","A201H","Total","d",890,935,795,700,"165"," "
"2007/08","A207H","SMR01"," ",25,25,25,25,"",":"
"2007/08","A207H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","A207H","Total","d",25,25,25,25,"0"," "
"2007/08","A208H","SMR01"," ",10,10,10,10,"",":"
"2007/08","A208H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","A208H","Total","d",10,10,10,10,"0"," "
"2007/08","A210H","SMR01"," ",365,360,340,300,"",":"
"2007/08","A210H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","A210H","Total","d",365,360,340,300,"0"," "
"2007/08","A211H","SMR01"," ",0,0,0,0,"",":"
"2007/08","A211H","SMR04"," ",15,0,0,0,"15"," "
"2007/08","A211H","Total","d",15,0,0,0,"15"," "
"2007/08","A215H","SMR01"," ",20,20,20,15,"",":"
"2007/08","A215H","SMR04"," ",35,35,35,25,"15"," "
"2007/08","A215H","Total","d",50,55,55,40,"15"," "
"2007/08","A240V","SMR01"," ",0,0,0,0,"",":"
"2007/08","A240V","SMR04"," ",15,10,10,10,"35"," "
"2007/08","A240V","Total","d",15,10,10,10,"35"," "
"2007/08","B103H","SMR01"," ",5,10,10,10,"",":"
"2007/08","B103H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","B103H","Total","d",5,10,10,10,"0"," "
"2007/08","B104H","SMR01"," ",0,0,0,0,"",":"
"2007/08","B104H","SMR04"," ",165,165,160,55,"25"," "
"2007/08","B104H","Total","d",165,165,160,55,"25"," "
"2007/08","B105H","SMR01"," ",10,10,10,10,"",":"
"2007/08","B105H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","B105H","Total","d",10,10,10,10,"0"," "
"2007/08","B111V","SMR01"," ",0,0,0,0,"",":"
"2007/08","B111V","SMR04"," ",0,0,0,0,"0"," "
"2007/08","B111V","Total","d",0,0,0,0,"0"," "
"2007/08","B114H","SMR01"," ",10,15,15,10,"",":"
"2007/08","B114H","SMR04"," ",25,30,30,20,"10"," "
"2007/08","B114H","Total","d",35,40,40,35,"10"," "
"2007/08","B118H","SMR01"," ",5,5,5,5,"",":"
"2007/08","B118H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","B118H","Total","d",5,5,5,5,"0"," "
"2007/08","B120H","SMR01"," ",270,260,225,200,"",":"
"2007/08","B120H","SMR04"," ",95,100,65,90,"15"," "
"2007/08","B120H","Total","d",365,360,285,285,"15"," "
"2007/08","B128H","SMR01"," ",0,0,0,0,"",":"
"2007/08","B128H","SMR04"," ",55,60,60,25,"10"," "
"2007/08","B128H","Total","d",55,60,60,25,"10"," "
"2007/08","B129H","SMR01"," ",0,0,0,0,"",":"
"2007/08","B129H","SMR04"," ",20,25,25,15,"15"," "
"2007/08","B129H","Total","d",20,25,25,15,"15"," "
"2007/08","B130H","SMR01"," ",0,0,0,0,"",":"
"2007/08","B130H","SMR04"," ",335,340,325,260,"20"," "
"2007/08","B130H","Total","d",335,340,325,260,"20"," "
"2007/08","C101H","SMR01"," ",0,0,0,0,"",":"
"2007/08","C101H","SMR04"," ",305,315,290,250,"75"," "
"2007/08","C101H","Total","d",305,315,290,250,"75"," "
"2007/08","C106H","SMR01"," ",120,120,120,80,"",":"
"2007/08","C106H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","C106H","Total","d",120,120,120,80,"0"," "
"2007/08","C108H","SMR01"," ",20,25,25,20,"",":"
"2007/08","C108H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","C108H","Total","d",20,25,25,20,"0"," "
"2007/08","C113H","SMR01"," ",20,25,20,25,"",":"
"2007/08","C113H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","C113H","Total","d",20,25,20,25,"0"," "
"2007/08","C114H","SMR01"," ",5,5,5,5,"",":"
"2007/08","C114H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","C114H","Total","d",5,5,5,5,"0"," "
"2007/08","C117J","SMR01"," ",5,5,5,5,"",":"
"2007/08","C117J","SMR04"," ",0,0,0,0,"0"," "
"2007/08","C117J","Total","d",5,5,5,5,"0"," "
"2007/08","C121H","SMR01"," ",110,110,105,80,"",":"
"2007/08","C121H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","C121H","Total","d",110,110,105,80,"0"," "
"2007/08","C122H","SMR01"," ",40,40,40,30,"",":"
"2007/08","C122H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","C122H","Total","d",40,40,40,30,"0"," "
"2007/08","C204H","SMR01"," ",0,0,0,0,"",":"
"2007/08","C204H","SMR04"," ",0,0,0,0,"5"," "
"2007/08","C204H","Total","d",0,0,0,0,"5"," "
"2007/08","C206H","SMR01"," ",115,110,100,85,"",":"
"2007/08","C206H","SMR04"," ",165,170,155,145,"25"," "
"2007/08","C206H","Total","d",275,280,255,225,"25"," "
"2007/08","C310H","SMR01"," ",0,0,0,0,"",":"
"2007/08","C310H","SMR04"," ",270,285,280,260,"85"," "
"2007/08","C310H","Total","d",270,285,280,260,"85"," "
"2007/08","C313H","SMR01"," ",365,365,340,285,"",":"
"2007/08","C313H","SMR04"," ",330,320,300,245,"35"," "
"2007/08","C313H","Total","d",695,685,640,520,"35"," "
"2007/08","C403H","SMR01"," ",0,0,0,0,"",":"
"2007/08","C403H","SMR04"," ",320,365,295,305,"145"," "
"2007/08","C403H","Total","d",320,365,295,305,"145"," "
"2007/08","C418H","SMR01"," ",515,525,460,395,"",":"
"2007/08","C418H","SMR04"," ",430,420,355,340,"65"," "
"2007/08","C418H","Total","d",945,940,815,720,"65"," "
"2007/08","C419H","SMR01"," ",0,0,0,0,"",":"
"2007/08","C419H","SMR04"," ",80,85,60,80,"15"," "
"2007/08","C419H","Total","d",80,90,60,85,"15"," "
"2007/08","D101H","SMR01"," ",0,0,0,0,"",":"
"2007/08","D101H","SMR04"," ",100,125,30,110,"175"," "
"2007/08","D101H","Total","d",100,125,30,110,"175"," "
"2007/08","D102H","SMR01"," ",0,0,0,0,"",":"
"2007/08","D102H","SMR01"," ",0,0,0,0,"",":"
"2007/08","D102H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","D102H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","D102H","Total","d",0,0,0,0,"0"," "
"2007/08","D102H","Total","d",0,0,0,0,"0"," "
"2007/08","F701H","SMR01"," ",5,5,5,5,"",":"
"2007/08","F701H","SMR04"," ",0,10,10,10,"0"," "
"2007/08","F701H","Total","d",5,20,20,15,"0"," "
"2007/08","F704H","SMR01"," ",310,315,215,195,"",":"
"2007/08","F704H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","F704H","Total","d",310,315,215,195,"0"," "
"2007/08","F708H","SMR01"," ",0,5,5,5,"",":"
"2007/08","F708H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","F708H","Total","d",0,5,5,5,"0"," "
"2007/08","F709H","SMR01"," ",5,5,5,5,"",":"
"2007/08","F709H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","F709H","Total","d",5,5,5,5,"0"," "
"2007/08","F711H","SMR01"," ",0,0,0,0,"",":"
"2007/08","F711H","SMR04"," ",595,595,510,450,"65"," "
"2007/08","F711H","Total","d",595,595,510,450,"65"," "
"2007/08","F712H","SMR01"," ",0,0,0,0,"",":"
"2007/08","F712H","SMR04"," ",425,440,360,315,"140"," "
"2007/08","F712H","Total","d",425,440,360,315,"140"," "
"2007/08","F716H","SMR01"," ",0,0,0,0,"",":"
"2007/08","F716H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","F716H","Total","d",0,0,0,0,"0"," "
"2007/08","F805H","SMR01"," ",260,255,180,165,"",":"
"2007/08","F805H","SMR04"," ",510,520,485,385,"90"," "
"2007/08","F805H","Total","d",770,775,665,535,"90"," "
"2007/08","F810H","SMR01"," ",0,0,0,0,"",":"
"2007/08","F810H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","F810H","Total","d",0,0,0,0,"0"," "
"2007/08","F821V","SMR01"," ",0,0,0,0,"",":"
"2007/08","F821V","SMR04"," ",0,0,0,0,"0"," "
"2007/08","F821V","Total","d",0,0,0,0,"0"," "
"2007/08","G107H","SMR01"," ",600,605,530,435,"",":"
"2007/08","G107H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","G107H","Total","d",600,605,530,435,"0"," "
"2007/08","G109H","SMR01"," ",20,20,20,20,"",":"
"2007/08","G109H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","G109H","Total","d",20,20,20,20,"0"," "
"2007/08","G111H","SMR01"," ",0,0,0,0,"",":"
"2007/08","G111H","SMR04"," ",685,695,650,560,"100"," "
"2007/08","G111H","Total","d",685,695,650,560,"100"," "
"2007/08","G207H","SMR01"," ",350,350,285,240,"",":"
"2007/08","G207H","SMR04"," ",920,920,885,715,"175"," "
"2007/08","G207H","Total","d",1270,1270,1170,930,"175"," "
"2007/08","G302H","SMR01"," ",0,0,0,0,"",":"
"2007/08","G302H","SMR04"," ",1605,1635,1470,1290,"255"," "
"2007/08","G302H","Total","d",1605,1635,1470,1290,"255"," "
"2007/08","G306H","SMR01"," ",650,655,410,410,"",":"
"2007/08","G306H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","G306H","Total","d",650,655,410,410,"0"," "
"2007/08","G307H","SMR01"," ",95,85,80,80,"",":"
"2007/08","G307H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","G307H","Total","d",95,85,80,80,"0"," "
"2007/08","G315V","SMR01"," ",0,0,0,0,"",":"
"2007/08","G315V","SMR04"," ",15,20,20,20,"40"," "
"2007/08","G315V","Total","d",15,20,20,20,"40"," "
"2007/08","G317V","SMR01"," ",0,0,0,0,"",":"
"2007/08","G317V","SMR04"," ",10,10,10,10,"20"," "
"2007/08","G317V","Total","d",10,10,10,10,"20"," "
"2007/08","G323V","SMR01"," ",0,0,0,0,"",":"
"2007/08","G323V","SMR04"," ",10,15,15,15,"5"," "
"2007/08","G323V","Total","d",10,15,15,15,"5"," "
"2007/08","G405H","SMR01"," ",370,365,235,225,"",":"
"2007/08","G405H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","G405H","Total","d",370,365,235,225,"0"," "
"2007/08","G424V","SMR01"," ",0,0,0,0,"",":"
"2007/08","G424V","SMR04"," ",20,20,20,20,"40"," "
"2007/08","G424V","Total","d",20,20,20,20,"40"," "
"2007/08","G505H","SMR01"," ",0,0,0,0,"",":"
"2007/08","G505H","SMR04"," ",1150,1175,1055,900,"190"," "
"2007/08","G505H","Total","d",1150,1175,1055,900,"190"," "
"2007/08","G513H","SMR01"," ",25,25,25,25,"",":"
"2007/08","G513H","SMR04"," ",10,15,15,15,"5"," "
"2007/08","G513H","Total","d",35,40,40,35,"5"," "
"2007/08","G516H","SMR01"," ",685,680,500,445,"",":"
"2007/08","G516H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","G516H","Total","d",685,680,500,445,"0"," "
"2007/08","G535V","SMR01"," ",0,0,0,0,"",":"
"2007/08","G535V","SMR04"," ",0,0,0,0,"0"," "
"2007/08","G535V","Total","d",0,0,0,0,"0"," "
"2007/08","G538V","SMR01"," ",0,0,0,0,"",":"
"2007/08","G538V","SMR04"," ",0,0,0,0,"0"," "
"2007/08","G538V","Total","d",0,0,0,0,"0"," "
"2007/08","G541V","SMR01"," ",0,0,0,0,"",":"
"2007/08","G541V","SMR04"," ",35,35,35,15,"45"," "
"2007/08","G541V","Total","d",35,35,35,15,"45"," "
"2007/08","G557V","SMR01"," ",0,0,0,0,"",":"
"2007/08","G557V","SMR04"," ",0,0,0,0,"5"," "
"2007/08","G557V","Total","d",0,0,0,0,"5"," "
"2007/08","G612H","SMR01"," ",0,0,0,0,"",":"
"2007/08","G612H","SMR04"," ",55,25,5,15,"25"," "
"2007/08","G612H","Total","d",55,25,5,15,"25"," "
"2007/08","H101H","SMR01"," ",10,10,10,10,"",":"
"2007/08","H101H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","H101H","Total","d",10,10,10,10,"0"," "
"2007/08","H103H","SMR01"," ",95,100,90,85,"",":"
"2007/08","H103H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","H103H","Total","d",95,100,90,85,"0"," "
"2007/08","H104H","SMR01"," ",5,0,0,0,"",":"
"2007/08","H104H","SMR04"," ",25,25,25,20,"5"," "
"2007/08","H104H","Total","d",25,25,25,20,"5"," "
"2007/08","H106H","SMR01"," ",35,35,35,30,"",":"
"2007/08","H106H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","H106H","Total","d",35,35,35,30,"0"," "
"2007/08","H108H","SMR01"," ",10,10,5,5,"",":"
"2007/08","H108H","SMR04"," ",30,30,30,25,"10"," "
"2007/08","H108H","Total","d",40,40,35,30,"10"," "
"2007/08","H201H","SMR01"," ",10,10,10,10,"",":"
"2007/08","H201H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","H201H","Total","d",10,10,10,10,"0"," "
"2007/08","H202H","SMR01"," ",420,415,250,225,"",":"
"2007/08","H202H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","H202H","Total","d",420,415,250,225,"0"," "
"2007/08","H208H","SMR01"," ",15,10,10,10,"",":"
"2007/08","H208H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","H208H","Total","d",15,10,10,10,"0"," "
"2007/08","H210H","SMR01"," ",5,5,5,5,"",":"
"2007/08","H210H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","H210H","Total","d",5,5,5,5,"0"," "
"2007/08","H211H","SMR01"," ",10,10,10,5,"",":"
"2007/08","H211H","SMR04"," ",45,45,45,40,"5"," "
"2007/08","H211H","Total","d",50,55,55,45,"5"," "
"2007/08","H212H","SMR01"," ",45,45,40,35,"",":"
"2007/08","H212H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","H212H","Total","d",45,45,40,35,"0"," "
"2007/08","H213H","SMR01"," ",0,0,0,0,"",":"
"2007/08","H213H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","H213H","Total","d",0,0,0,0,"0"," "
"2007/08","H214H","SMR01"," ",80,80,75,55,"",":"
"2007/08","H214H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","H214H","Total","d",80,80,75,55,"0"," "
"2007/08","H215H","SMR01"," ",65,65,65,45,"",":"
"2007/08","H215H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","H215H","Total","d",65,65,65,45,"0"," "
"2007/08","H217H","SMR01"," ",5,5,5,5,"",":"
"2007/08","H217H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","H217H","Total","d",5,5,5,5,"0"," "
"2007/08","H219H","SMR01"," ",15,15,15,15,"",":"
"2007/08","H219H","SMR04"," ",30,35,30,30,"5"," "
"2007/08","H219H","Total","d",45,45,45,45,"5"," "
"2007/08","H223H","SMR01"," ",0,0,0,0,"",":"
"2007/08","H223H","SMR04"," ",920,925,890,740,"125"," "
"2007/08","H223H","Total","d",920,925,890,740,"125"," "
"2007/08","H224H","SMR01"," ",35,35,35,30,"",":"
"2007/08","H224H","SMR04"," ",5,5,5,5,"10"," "
"2007/08","H224H","Total","d",45,40,40,35,"10"," "
"2007/08","H239V","SMR01"," ",0,0,0,0,"",":"
"2007/08","H239V","SMR04"," ",0,0,0,0,"0"," "
"2007/08","H239V","Total","d",0,0,0,0,"0"," "
"2007/08","L103H","SMR01"," ",10,15,15,15,"",":"
"2007/08","L103H","SMR04"," ",135,135,115,105,"15"," "
"2007/08","L103H","Total","d",145,150,125,120,"15"," "
"2007/08","L104H","SMR01"," ",5,5,5,0,"",":"
"2007/08","L104H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","L104H","Total","d",5,5,5,0,"0"," "
"2007/08","L105H","SMR01"," ",5,10,10,10,"",":"
"2007/08","L105H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","L105H","Total","d",5,10,10,10,"0"," "
"2007/08","L106H","SMR01"," ",845,840,640,465,"",":"
"2007/08","L106H","SMR04"," ",700,695,550,505,"45"," "
"2007/08","L106H","Total","d",1545,1535,1190,945,"45"," "
"2007/08","L112V","SMR01"," ",0,0,0,0,"",":"
"2007/08","L112V","SMR04"," ",15,15,15,15,"45"," "
"2007/08","L112V","Total","d",15,15,15,15,"45"," "
"2007/08","L203H","SMR01"," ",0,0,0,0,"",":"
"2007/08","L203H","SMR04"," ",0,10,10,10,"15"," "
"2007/08","L203H","Total","d",0,10,10,10,"15"," "
"2007/08","L204H","SMR01"," ",0,0,0,0,"",":"
"2007/08","L204H","SMR04"," ",25,30,15,25,"65"," "
"2007/08","L204H","Total","d",25,30,15,25,"65"," "
"2007/08","L207H","SMR01"," ",0,0,0,0,"",":"
"2007/08","L207H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","L207H","Total","d",0,0,0,0,"0"," "
"2007/08","L213V","SMR01"," ",0,0,0,0,"",":"
"2007/08","L213V","SMR04"," ",40,50,45,45,"75"," "
"2007/08","L213V","Total","d",40,50,45,45,"75"," "
"2007/08","L218H","SMR01"," ",0,0,0,0,"",":"
"2007/08","L218H","SMR04"," ",85,80,75,70,"25"," "
"2007/08","L218H","Total","d",85,80,75,70,"25"," "
"2007/08","L302H","SMR01"," ",290,285,195,180,"",":"
"2007/08","L302H","SMR04"," ",600,595,510,455,"55"," "
"2007/08","L302H","Total","d",890,885,705,620,"55"," "
"2007/08","L305H","SMR01"," ",0,0,0,0,"",":"
"2007/08","L305H","SMR04"," ",155,145,125,125,"35"," "
"2007/08","L305H","Total","d",155,145,125,125,"35"," "
"2007/08","L307H","SMR01"," ",0,0,0,0,"",":"
"2007/08","L307H","SMR04"," ",20,25,15,20,"10"," "
"2007/08","L307H","Total","d",20,25,15,20,"10"," "
"2007/08","L308H","SMR01"," ",445,440,290,255,"",":"
"2007/08","L308H","SMR04"," ",675,675,615,555,"65"," "
"2007/08","L308H","Total","d",1120,1115,910,775,"65"," "
"2007/08","L365V","SMR01"," ",0,0,0,0,"",":"
"2007/08","L365V","SMR04"," ",0,0,0,0,"0"," "
"2007/08","L365V","Total","d",0,0,0,0,"0"," "
"2007/08","N101H","SMR01"," ",495,500,440,380,"",":"
"2007/08","N101H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N101H","Total","d",495,500,440,380,"0"," "
"2007/08","N102H","SMR01"," ",55,55,50,50,"",":"
"2007/08","N102H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N102H","Total","d",55,55,50,50,"0"," "
"2007/08","N103H","SMR01"," ",10,10,10,10,"",":"
"2007/08","N103H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N103H","Total","d",10,10,10,10,"0"," "
"2007/08","N121H","SMR01"," ",10,10,10,10,"",":"
"2007/08","N121H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N121H","Total","d",10,10,10,10,"0"," "
"2007/08","N151H","SMR01"," ",5,5,5,5,"",":"
"2007/08","N151H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N151H","Total","d",5,5,5,5,"0"," "
"2007/08","N181H","SMR01"," ",5,5,5,5,"",":"
"2007/08","N181H","SMR04"," ",15,25,25,20,"15"," "
"2007/08","N181H","Total","d",20,30,30,25,"15"," "
"2007/08","N184H","SMR01"," ",0,0,0,0,"",":"
"2007/08","N184H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N184H","Total","d",0,0,0,0,"0"," "
"2007/08","N198H","SMR01"," ",0,0,0,0,"",":"
"2007/08","N198H","SMR04"," ",1410,1420,1300,1045,"250"," "
"2007/08","N198H","Total","d",1410,1420,1300,1045,"250"," "
"2007/08","N331H","SMR01"," ",5,5,5,5,"",":"
"2007/08","N331H","SMR04"," ",55,60,55,45,"15"," "
"2007/08","N331H","Total","d",60,65,60,50,"15"," "
"2007/08","N332H","SMR01"," ",5,5,5,5,"",":"
"2007/08","N332H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N332H","Total","d",5,5,5,5,"0"," "
"2007/08","N333H","SMR01"," ",15,15,15,15,"",":"
"2007/08","N333H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N333H","Total","d",15,15,15,15,"0"," "
"2007/08","N334H","SMR01"," ",25,25,25,20,"",":"
"2007/08","N334H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N334H","Total","d",25,25,25,20,"0"," "
"2007/08","N335H","SMR01"," ",25,25,25,20,"",":"
"2007/08","N335H","SMR04"," ",0,5,5,5,"0"," "
"2007/08","N335H","Total","d",25,30,25,25,"0"," "
"2007/08","N336H","SMR01"," ",0,0,0,0,"",":"
"2007/08","N336H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N336H","Total","d",0,0,0,0,"0"," "
"2007/08","N337H","SMR01"," ",25,25,25,20,"",":"
"2007/08","N337H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N337H","Total","d",25,25,25,20,"0"," "
"2007/08","N351H","SMR01"," ",0,0,0,0,"",":"
"2007/08","N351H","SMR04"," ",20,20,20,20,"5"," "
"2007/08","N351H","Total","d",20,20,20,20,"5"," "
"2007/08","N352H","SMR01"," ",0,0,0,0,"",":"
"2007/08","N352H","SMR04"," ",20,25,25,20,"15"," "
"2007/08","N352H","Total","d",20,25,25,20,"15"," "
"2007/08","N353H","SMR01"," ",0,0,0,0,"",":"
"2007/08","N353H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N353H","Total","d",5,5,5,5,"0"," "
"2007/08","N406V","SMR01"," ",0,0,0,0,"",":"
"2007/08","N406V","SMR04"," ",20,30,20,25,"10"," "
"2007/08","N406V","Total","d",20,30,20,25,"10"," "
"2007/08","N411H","SMR01"," ",140,140,120,110,"",":"
"2007/08","N411H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N411H","Total","d",140,140,120,110,"0"," "
"2007/08","N431H","SMR01"," ",0,0,0,0,"",":"
"2007/08","N431H","SMR04"," ",45,45,40,45,"20"," "
"2007/08","N431H","Total","d",45,45,40,45,"20"," "
"2007/08","N432H","SMR01"," ",15,10,10,10,"",":"
"2007/08","N432H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N432H","Total","d",15,10,10,10,"0"," "
"2007/08","N433H","SMR01"," ",20,20,20,15,"",":"
"2007/08","N433H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N433H","Total","d",20,20,20,15,"0"," "
"2007/08","N434H","SMR01"," ",15,15,15,15,"",":"
"2007/08","N434H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N434H","Total","d",15,15,15,15,"0"," "
"2007/08","N451H","SMR01"," ",15,10,10,5,"",":"
"2007/08","N451H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","N451H","Total","d",15,10,10,5,"0"," "
"2007/08","N492H","SMR01"," ",0,0,0,0,"",":"
"2007/08","N492H","SMR04"," ",25,25,10,15,"10"," "
"2007/08","N492H","Total","d",25,25,10,15,"10"," "
"2007/08","N494H","SMR01"," ",5,5,5,5,"",":"
"2007/08","N494H","SMR04"," ",15,20,20,15,"5"," "
"2007/08","N494H","Total","d",20,25,20,20,"5"," "
"2007/08","N495H","SMR01"," ",0,0,0,0,"",":"
"2007/08","N495H","SMR04"," ",225,225,215,170,"20"," "
"2007/08","N495H","Total","d",225,225,215,170,"20"," "
"2007/08","N496H","SMR01"," ",0,0,0,0,"",":"
"2007/08","N496H","SMR04"," ",45,45,5,10,"5"," "
"2007/08","N496H","Total","d",45,45,5,10,"5"," "
"2007/08","R101H","SMR01"," ",55,60,60,55,"",":"
"2007/08","R101H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","R101H","Total","d",55,60,60,55,"0"," "
"2007/08","S102H","SMR01"," ",5,5,5,5,"",":"
"2007/08","S102H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","S102H","Total","d",5,5,5,5,"0"," "
"2007/08","S107H","SMR01"," ",0,0,0,0,"",":"
"2007/08","S107H","SMR04"," ",5,5,5,5,"10"," "
"2007/08","S107H","Total","d",10,5,5,5,"10"," "
"2007/08","S108H","SMR01"," ",5,0,0,0,"",":"
"2007/08","S108H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","S108H","Total","d",5,0,0,0,"0"," "
"2007/08","S109H","SMR01"," ",0,0,0,0,"",":"
"2007/08","S109H","SMR04"," ",250,265,250,225,"45"," "
"2007/08","S109H","Total","d",250,265,250,225,"45"," "
"2007/08","S113H","SMR01"," ",35,30,30,30,"",":"
"2007/08","S113H","SMR04"," ",0,0,0,0,"0"," "
"2007/08","S113H","Total","d",35,30,30,30,"0"," "
"2007/08","S114H","SMR01"," ",90,95,85,80,"",":"
"2007/08","S114H","SMR04"," ",210,215,190,165,"40"," "
"2007/08","S114H","Total","d",305,315,275,240,"40"," "
