"FinancialYear","HBT","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"2002/03","S08000026","Total","d",100,105,100,75,"0"," "
"2002/03","S08000026","SMR01"," ",100,105,100,75,"",":"
"2002/03","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2002/03","S08000030","Total","d",2805,2855,2585,2080,"495"," "
"2002/03","S08000030","SMR01"," ",505,505,490,440,"",":"
"2002/03","S08000030","SMR04"," ",2300,2350,2095,1685,"495"," "
"2002/03","S08000028","Total","d",365,360,350,225,"35"," "
"2002/03","S08000028","SMR01"," ",180,180,180,140,"",":"
"2002/03","S08000028","SMR04"," ",180,180,170,95,"35"," "
"2002/03","SB0802","Total","d",260,255,30,170,"235"," "
"2002/03","SB0802","SMR01"," ",0,0,0,0,"",":"
"2002/03","SB0802","SMR04"," ",260,255,30,170,"235"," "
"2003/04","S08000015","Total","d",2875,2875,2670,2035,"360"," "
"2003/04","S08000015","SMR01"," ",830,830,790,670,"",":"
"2003/04","S08000015","SMR04"," ",2045,2045,1880,1440,"360"," "
"2003/04","S08000016","Total","d",1050,1040,930,685,"115"," "
"2003/04","S08000016","SMR01"," ",285,285,260,235,"",":"
"2003/04","S08000016","SMR04"," ",765,755,670,480,"115"," "
"2003/04","S08000017","Total","d",975,995,895,690,"120"," "
"2003/04","S08000017","SMR01"," ",205,210,180,170,"",":"
"2003/04","S08000017","SMR04"," ",770,790,710,550,"120"," "
"2003/04","S08000029","Total","d",2090,2055,1820,1400,"370"," "
"2003/04","S08000029","SMR01"," ",300,305,260,230,"",":"
"2003/04","S08000029","SMR04"," ",1790,1750,1560,1190,"370"," "
"2003/04","S08000019","Total","d",1675,1700,1450,1165,"290"," "
"2003/04","S08000019","SMR01"," ",320,325,305,275,"",":"
"2003/04","S08000019","SMR04"," ",1355,1380,1145,925,"290"," "
"2003/04","S08000020","Total","d",3300,3330,2920,2330,"485"," "
"2003/04","S08000020","SMR01"," ",915,905,825,730,"",":"
"2003/04","S08000020","SMR04"," ",2385,2425,2100,1665,"485"," "
"2003/04","S08000031","Total","d",10010,10155,8770,7095,"1560"," "
"2003/04","S08000031","SMR01"," ",3085,3085,2450,2225,"",":"
"2003/04","S08000031","SMR04"," ",6925,7070,6320,5085,"1560"," "
"2003/04","S08000022","Total","d",2865,2880,2695,2040,"295"," "
"2003/04","S08000022","SMR01"," ",1015,1015,905,760,"",":"
"2003/04","S08000022","SMR04"," ",1845,1865,1790,1400,"295"," "
"2003/04","S08000032","Total","d",3925,3910,3285,2695,"575"," "
"2003/04","S08000032","SMR01"," ",1040,1035,805,710,"",":"
"2003/04","S08000032","SMR04"," ",2885,2875,2485,2070,"575"," "
"2003/04","S08000024","Total","d",6275,6255,5265,4140,"885"," "
"2003/04","S08000024","SMR01"," ",1470,1465,1140,1055,"",":"
"2003/04","S08000024","SMR04"," ",4805,4795,4125,3235,"885"," "
"2003/04","S08000025","Total","d",80,80,75,65,"0"," "
"2003/04","S08000025","SMR01"," ",80,80,75,65,"",":"
"2003/04","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2003/04","S08000026","Total","d",85,85,85,70,"0"," "
"2003/04","S08000026","SMR01"," ",85,85,85,70,"",":"
"2003/04","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2003/04","S08000030","Total","d",2935,2955,2635,2140,"485"," "
"2003/04","S08000030","SMR01"," ",550,560,530,490,"",":"
"2003/04","S08000030","SMR04"," ",2385,2395,2105,1715,"485"," "
"2003/04","S08000028","Total","d",405,400,385,260,"40"," "
"2003/04","S08000028","SMR01"," ",215,215,210,165,"",":"
"2003/04","S08000028","SMR04"," ",185,185,180,110,"40"," "
"2003/04","SB0802","Total","d",270,280,35,160,"225"," "
"2003/04","SB0802","SMR01"," ",0,0,0,0,"",":"
"2003/04","SB0802","SMR04"," ",270,280,35,160,"225"," "
"2004/05","S08000015","Total","d",3000,3000,2765,2025,"365"," "
"2004/05","S08000015","SMR01"," ",930,935,875,700,"",":"
"2004/05","S08000015","SMR04"," ",2070,2065,1895,1430,"365"," "
"2004/05","S08000016","Total","d",1045,1055,935,685,"110"," "
"2004/05","S08000016","SMR01"," ",275,280,250,210,"",":"
"2004/05","S08000016","SMR04"," ",770,775,685,495,"110"," "
"2004/05","S08000017","Total","d",940,935,845,670,"130"," "
"2004/05","S08000017","SMR01"," ",215,215,185,180,"",":"
"2004/05","S08000017","SMR04"," ",725,720,660,515,"130"," "
"2004/05","S08000029","Total","d",1960,1975,1725,1355,"350"," "
"2004/05","S08000029","SMR01"," ",295,295,230,220,"",":"
"2004/05","S08000029","SMR04"," ",1665,1685,1495,1175,"350"," "
"2004/05","S08000019","Total","d",1700,1715,1410,1185,"275"," "
"2004/05","S08000019","SMR01"," ",315,315,290,270,"",":"
"2004/05","S08000019","SMR04"," ",1385,1400,1115,945,"275"," "
"2004/05","S08000020","Total","d",2950,2960,2650,2140,"485"," "
"2004/05","S08000020","SMR01"," ",775,785,740,665,"",":"
"2004/05","S08000020","SMR04"," ",2175,2175,1905,1535,"485"," "
"2004/05","S08000031","Total","d",9490,9590,8340,6715,"1475"," "
"2004/05","S08000031","SMR01"," ",2770,2780,2275,2055,"",":"
"2004/05","S08000031","SMR04"," ",6720,6805,6065,4860,"1475"," "
"2004/05","S08000022","Total","d",2695,2695,2500,1850,"300"," "
"2004/05","S08000022","SMR01"," ",1035,1040,905,740,"",":"
"2004/05","S08000022","SMR04"," ",1660,1655,1595,1240,"300"," "
"2004/05","S08000032","Total","d",3895,3955,3355,2690,"520"," "
"2004/05","S08000032","SMR01"," ",1035,1040,790,685,"",":"
"2004/05","S08000032","SMR04"," ",2860,2915,2570,2100,"520"," "
"2004/05","S08000024","Total","d",6100,6190,5250,4030,"800"," "
"2004/05","S08000024","SMR01"," ",1340,1345,1075,1010,"",":"
