"FinancialYear","CA","Dataset","DatasetQF","DischargesRate","PatientsRate"
"1999/00","S12000023","SMR04"," ",231.72,154.48
"1999/00","S12000023","Total","d",540.68,386.2
"1999/00","S12000048","SMR01"," ",122.04,99.85
"1999/00","S12000048","SMR04"," ",650.89,447.49
"1999/00","S12000048","Total","d",776.63,532.54
"1999/00","S12000038","SMR01"," ",212.17,172.03
"1999/00","S12000038","SMR04"," ",702.45,504.62
"1999/00","S12000038","Total","d",914.62,659.44
"1999/00","S12000026","SMR01"," ",217.37,184.29
"1999/00","S12000026","SMR04"," ",628.49,420.57
"1999/00","S12000026","Total","d",841.13,576.51
"1999/00","S12000027","SMR01"," ",422.03,333.19
"1999/00","S12000027","SMR04"," ",199.91,133.27
"1999/00","S12000027","Total","d",621.95,422.03
"1999/00","S12000028","SMR01"," ",319.01,243.69
"1999/00","S12000028","SMR04"," ",735.49,474.08
"1999/00","S12000028","Total","d",1054.5,664.6
"1999/00","S12000029","SMR01"," ",137.15,117.32
"1999/00","S12000029","SMR04"," ",500.69,351.97
"1999/00","S12000029","Total","d",637.85,454.43
"1999/00","S12000030","SMR01"," ",140.43,117.03
"1999/00","S12000030","SMR04"," ",462.26,304.27
"1999/00","S12000030","Total","d",602.69,409.6
"1999/00","S12000039","SMR01"," ",217.12,180.05
"1999/00","S12000039","SMR04"," ",778.44,492.48
"1999/00","S12000039","Total","d",995.55,646.05
"1999/00","S12000040","SMR01"," ",155.08,129.23
"1999/00","S12000040","SMR04"," ",810.93,458.77
"1999/00","S12000040","Total","d",966.01,571.85
"2000/01","S12000033","SMR01"," ",187.49,150
"2000/01","S12000033","SMR04"," ",562.48,360.93
"2000/01","S12000033","Total","d",747.63,499.2
"2000/01","S12000034","SMR01"," ",173.99,140.96
"2000/01","S12000034","SMR04"," ",361.2,240.07
"2000/01","S12000034","Total","d",535.2,365.61
"2000/01","S12000041","SMR01"," ",156.18,137.8
"2000/01","S12000041","SMR04"," ",528.25,399.63
"2000/01","S12000041","Total","d",689.02,519.06
"2000/01","S12000035","SMR01"," ",565.62,433.83
"2000/01","S12000035","SMR04"," ",719.38,483.25
"2000/01","S12000035","Total","d",1285.01,829.21
"2000/01","S12000036","SMR01"," ",156.1,119.31
"2000/01","S12000036","SMR04"," ",590.95,399.17
"2000/01","S12000036","Total","d",748.17,502.87
"2000/01","S12000005","SMR01"," ",93.42,93.42
"2000/01","S12000005","SMR04"," ",456.72,301.02
"2000/01","S12000005","Total","d",550.13,384.06
"2000/01","S12000006","SMR01"," ",162.67,125.39
"2000/01","S12000006","SMR04"," ",555.78,393.11
"2000/01","S12000006","Total","d",715.06,498.17
"2000/01","S12000042","SMR01"," ",156.88,143.24
"2000/01","S12000042","SMR04"," ",712.78,491.1
"2000/01","S12000042","Total","d",869.65,617.28
"2000/01","S12000008","SMR01"," ",170.66,145.69
"2000/01","S12000008","SMR04"," ",641.03,424.58
"2000/01","S12000008","Total","d",811.69,553.61
"2000/01","S12000045","SMR01"," ",101.27,78.25
"2000/01","S12000045","SMR04"," ",331.43,266.99
"2000/01","S12000045","Total","d",432.7,336.03
"2000/01","S12000010","SMR01"," ",66.73,61.17
"2000/01","S12000010","SMR04"," ",617.28,383.72
"2000/01","S12000010","Total","d",684.02,439.33
"2000/01","S12000011","SMR01"," ",123.54,95.46
"2000/01","S12000011","SMR04"," ",342.54,258.31
"2000/01","S12000011","Total","d",466.08,342.54
"2000/01","S12000014","SMR01"," ",100.24,82.96
"2000/01","S12000014","SMR04"," ",432.08,297.27
"2000/01","S12000014","Total","d",532.32,373.31
"2000/01","S12000047","SMR01"," ",119.14,91.86
"2000/01","S12000047","SMR04"," ",470.8,315.78
"2000/01","S12000047","Total","d",589.94,401.91
"2000/01","S12000049","SMR01"," ",260.82,202.77
"2000/01","S12000049","SMR04"," ",747.81,513.85
"2000/01","S12000049","Total","d",1009.5,695.82
"2000/01","S12000017","SMR01"," ",356.24,258.21
"2000/01","S12000017","SMR04"," ",712.48,459.04
"2000/01","S12000017","Total","d",1071.1,679
"2000/01","S12000018","SMR01"," ",307.11,253.96
"2000/01","S12000018","SMR04"," ",820.93,549.26
"2000/01","S12000018","Total","d",1133.95,785.49
"2000/01","S12000019","SMR01"," ",92.47,67.81
"2000/01","S12000019","SMR04"," ",567.13,394.53
"2000/01","S12000019","Total","d",659.6,456.17
"2000/01","S12000020","SMR01"," ",219.1,184.5
"2000/01","S12000020","SMR04"," ",622.69,392.07
"2000/01","S12000020","Total","d",841.79,553.51
"2000/01","S12000013","SMR01"," ",541.25,410.6
"2000/01","S12000013","SMR04"," ",746.55,429.26
"2000/01","S12000013","Total","d",1287.79,802.54
"2000/01","S12000021","SMR01"," ",183.34,146.67
"2000/01","S12000021","SMR04"," ",605.02,396.01
"2000/01","S12000021","Total","d",788.35,524.35
"2000/01","S12000050","SMR01"," ",172.69,129.13
"2000/01","S12000050","SMR04"," ",533.62,351.6
"2000/01","S12000050","Total","d",706.31,465.17
"2000/01","S12000023","SMR01"," ",388.8,311.04
"2000/01","S12000023","SMR04"," ",233.28,181.44
"2000/01","S12000023","Total","d",648,440.64
"2000/01","S12000048","SMR01"," ",114.84,100.02
"2000/01","S12000048","SMR04"," ",677.93,444.54
"2000/01","S12000048","Total","d",792.77,529.75
"2000/01","S12000038","SMR01"," ",164.09,143.94
"2000/01","S12000038","SMR04"," ",728.35,515.32
"2000/01","S12000038","Total","d",895.32,639.11
"2000/01","S12000026","SMR01"," ",192.94,169.41
"2000/01","S12000026","SMR04"," ",597.65,404.71
"2000/01","S12000026","Total","d",790.59,545.88
"2000/01","S12000027","SMR01"," ",428.31,360.69
"2000/01","S12000027","SMR04"," ",225.43,157.8
"2000/01","S12000027","Total","d",653.74,450.86
"2000/01","S12000028","SMR01"," ",262.71,200.37
"2000/01","S12000028","SMR04"," ",659.01,467.54
"2000/01","S12000028","Total","d",921.72,636.74
"2000/01","S12000029","SMR01"," ",150.53,115.79
"2000/01","S12000029","SMR04"," ",468.12,329.18
"2000/01","S12000029","Total","d",620.31,435.04
"2000/01","S12000030","SMR01"," ",110.26,104.46
"2000/01","S12000030","SMR04"," ",493.27,307.57
"2000/01","S12000030","Total","d",603.53,406.22
"2000/01","S12000039","SMR01"," ",170.34,143.72
"2000/01","S12000039","SMR04"," ",750.56,479.08
"2000/01","S12000039","Total","d",915.58,606.83
"2000/01","S12000040","SMR01"," ",152.82,124.16
"2000/01","S12000040","SMR04"," ",741.8,442.53
"2000/01","S12000040","Total","d",891.44,547.6
"2001/02","S12000033","SMR01"," ",212.35,174.6
"2001/02","S12000033","SMR04"," ",519.09,318.53
"2001/02","S12000033","Total","d",731.44,481.34
"2001/02","S12000034","SMR01"," ",160.84,136.6
"2001/02","S12000034","SMR04"," ",356.92,240.15
"2001/02","S12000034","Total","d",517.76,365.74
"2001/02","S12000041","SMR01"," ",143.03,119.96
"2001/02","S12000041","SMR04"," ",507.52,387.56
"2001/02","S12000041","Total","d",650.55,484.45
"2001/02","S12000035","SMR01"," ",421.69,323.11
"2001/02","S12000035","SMR04"," ",613.36,438.12
"2001/02","S12000035","Total","d",1035.05,706.46
"2001/02","S12000036","SMR01"," ",171.48,122.49
"2001/02","S12000036","SMR04"," ",625.81,422.03
"2001/02","S12000036","Total","d",797.29,526.7
"2001/02","S12000005","SMR01"," ",104.01,93.61
"2001/02","S12000005","SMR04"," ",499.27,364.05
"2001/02","S12000005","Total","d",603.29,447.26
"2001/02","S12000006","SMR01"," ",196.24,155.64
"2001/02","S12000006","SMR04"," ",524.43,375.56
"2001/02","S12000006","Total","d",720.67,507.51
"2001/02","S12000042","SMR01"," ",144.37,127.18
"2001/02","S12000042","SMR04"," ",714.97,474.36
"2001/02","S12000042","Total","d",859.34,591.23
"2001/02","S12000008","SMR01"," ",182.86,153.77
"2001/02","S12000008","SMR04"," ",677.42,440.53
"2001/02","S12000008","Total","d",860.28,573.52
"2001/02","S12000045","SMR01"," ",120.09,87.76
"2001/02","S12000045","SMR04"," ",332.56,235.57
"2001/02","S12000045","Total","d",452.66,318.71
"2001/02","S12000010","SMR01"," ",121.98,88.71
"2001/02","S12000010","SMR04"," ",632.07,365.93
"2001/02","S12000010","Total","d",748.5,443.56
"2001/02","S12000011","SMR01"," ",145.4,106.25
"2001/02","S12000011","SMR04"," ",313.16,240.47
"2001/02","S12000011","Total","d",458.56,335.53
"2001/02","S12000014","SMR01"," ",86.05,75.72
"2001/02","S12000014","SMR04"," ",402.7,278.79
"2001/02","S12000014","Total","d",488.75,351.07
"2001/02","S12000047","SMR01"," ",112.93,95.78
"2001/02","S12000047","SMR04"," ",514.62,340.22
"2001/02","S12000047","Total","d",626.13,425.99
"2001/02","S12000049","SMR01"," ",296.35,214.27
"2001/02","S12000049","SMR04"," ",692.92,472.6
"2001/02","S12000049","Total","d",989.27,664.41
"2001/02","S12000017","SMR01"," ",318.3,246.51
"2001/02","S12000017","SMR04"," ",588.74,404.46
"2001/02","S12000017","Total","d",907.05,617.46
"2001/02","S12000018","SMR01"," ",231.73,196.08
"2001/02","S12000018","SMR04"," ",867.5,576.35
"2001/02","S12000018","Total","d",1099.23,754.6
"2001/02","S12000019","SMR01"," ",129.71,86.47
"2001/02","S12000019","SMR04"," ",562.08,364.42
"2001/02","S12000019","Total","d",685.61,438.54
"2001/02","S12000020","SMR01"," ",247.13,195.4
"2001/02","S12000020","SMR04"," ",563.22,362.07
"2001/02","S12000020","Total","d",804.6,534.48
"2001/02","S12000013","SMR01"," ",604.91,472.59
"2001/02","S12000013","SMR04"," ",699.43,396.98
"2001/02","S12000013","Total","d",1323.25,812.85
"2001/02","S12000021","SMR01"," ",209.84,161.98
"2001/02","S12000021","SMR04"," ",603.74,393.9
"2001/02","S12000021","Total","d",813.58,537.48
"2001/02","S12000050","SMR01"," ",140.11,107.42
"2001/02","S12000050","SMR04"," ",516.84,347.16
"2001/02","S12000050","Total","d",658.51,446.79
"2001/02","S12000023","SMR01"," ",416.23,364.2
"2001/02","S12000023","SMR04"," ",234.13,182.1
"2001/02","S12000023","Total","d",676.38,468.26
"2001/02","S12000048","SMR01"," ",129.68,111.15
"2001/02","S12000048","SMR04"," ",696.55,466.84
"2001/02","S12000048","Total","d",826.23,559.47
"2001/02","S12000038","SMR01"," ",164.88,138.85
"2001/02","S12000038","SMR04"," ",752.1,514.9
"2001/02","S12000038","Total","d",914.09,633.5
"2001/02","S12000026","SMR01"," ",247.78,201.03
"2001/02","S12000026","SMR04"," ",640.49,434.78
"2001/02","S12000026","Total","d",892.94,603.09
"2001/02","S12000027","SMR01"," ",364.3,295.99
"2001/02","S12000027","SMR04"," ",182.15,136.61
"2001/02","S12000027","Total","d",523.68,364.3
"2001/02","S12000028","SMR01"," ",245.19,191.69
"2001/02","S12000028","SMR04"," ",597.36,423.5
"2001/02","S12000028","Total","d",842.55,588.45
"2001/02","S12000029","SMR01"," ",145.53,114.11
"2001/02","S12000029","SMR04"," ",507.71,343.98
"2001/02","S12000029","Total","d",653.24,448.17
"2001/02","S12000030","SMR01"," ",104.41,98.61
"2001/02","S12000030","SMR04"," ",504.64,324.83
"2001/02","S12000030","Total","d",609.05,417.63
"2001/02","S12000039","SMR01"," ",214.32,171.45
"2001/02","S12000039","SMR04"," ",760.82,466.14
"2001/02","S12000039","Total","d",975.14,616.16
"2001/02","S12000040","SMR01"," ",154.06,128.91
"2001/02","S12000040","SMR04"," ",719.99,421.3
"2001/02","S12000040","Total","d",874.05,537.63
"2002/03","S12000033","SMR01"," ",173.25,144.77
"2002/03","S12000033","SMR04"," ",491.27,344.12
"2002/03","S12000033","Total","d",664.51,479.4
"2002/03","S12000034","SMR01"," ",146.4,120.18
"2002/03","S12000034","SMR04"," ",334.31,242.54
"2002/03","S12000034","Total","d",480.71,351.79
"2002/03","S12000041","SMR01"," ",96.5,78.12
"2002/03","S12000041","SMR04"," ",477.9,349.23
"2002/03","S12000041","Total","d",578.99,418.16
"2002/03","S12000035","SMR01"," ",488.9,373.54
"2002/03","S12000035","SMR04"," ",615.25,444.96
"2002/03","S12000035","Total","d",1104.15,763.57
"2002/03","S12000036","SMR01"," ",189.94,137.43
"2002/03","S12000036","SMR04"," ",648.04,429.05
"2002/03","S12000036","Total","d",837.99,548.6
"2002/03","S12000005","SMR01"," ",124.64,103.86
"2002/03","S12000005","SMR04"," ",498.55,342.75
"2002/03","S12000005","Total","d",623.18,436.23
"2002/03","S12000006","SMR01"," ",165.91,132.05
"2002/03","S12000006","SMR04"," ",511.28,375.84
"2002/03","S12000006","Total","d",680.57,487.57
"2002/03","S12000042","SMR01"," ",131.61,117.75
"2002/03","S12000042","SMR04"," ",658.03,457.16
"2002/03","S12000042","Total","d",789.64,561.06
"2002/03","S12000008","SMR01"," ",175.12,150.1
"2002/03","S12000008","SMR04"," ",567.04,404.44
"2002/03","S12000008","Total","d",737.99,537.86
"2002/03","S12000045","SMR01"," ",111.78,79.18
"2002/03","S12000045","SMR04"," ",288.78,223.57
"2002/03","S12000045","Total","d",400.56,298.09
"2002/03","S12000010","SMR01"," ",109.82,71.38
"2002/03","S12000010","SMR04"," ",625.96,384.36
"2002/03","S12000010","Total","d",735.78,444.76
"2002/03","S12000011","SMR01"," ",127.88,83.4
"2002/03","S12000011","SMR04"," ",294.67,239.07
"2002/03","S12000011","Total","d",428.11,311.35
"2002/03","S12000014","SMR01"," ",102.8,92.52
"2002/03","S12000014","SMR04"," ",407.76,287.83
"2002/03","S12000014","Total","d",510.55,376.92
"2002/03","S12000047","SMR01"," ",116.9,89.81
"2002/03","S12000047","SMR04"," ",513.2,332.15
"2002/03","S12000047","Total","d",630.1,411.99
"2002/03","S12000049","SMR01"," ",273.22,200.36
"2002/03","S12000049","SMR04"," ",659.21,456.24
"2002/03","S12000049","Total","d",932.43,638.39
"2002/03","S12000017","SMR01"," ",288.42,219.3
"2002/03","S12000017","SMR04"," ",603.07,409.99
"2002/03","S12000017","Total","d",891.5,595.92
"2002/03","S12000018","SMR01"," ",304.55,250.81
"2002/03","S12000018","SMR04"," ",907.68,609.1
"2002/03","S12000018","Total","d",1206.26,818.11
"2002/03","S12000019","SMR01"," ",129.82,86.55
"2002/03","S12000019","SMR04"," ",599.65,389.47
"2002/03","S12000019","Total","d",729.48,463.65
